date,time,PredictedPV
2/26/2024,06:00,144.20404052734375
2/26/2024,06:15,160.19387817382812
2/26/2024,06:30,358.4573059082031
2/26/2024,06:45,273.9153137207031
2/26/2024,07:00,162.34039306640625
2/26/2024,07:15,369.0896911621094
2/26/2024,07:30,242.82435607910156
2/26/2024,07:45,277.9770202636719
2/26/2024,08:00,212.571533203125
2/26/2024,08:15,342.0045166015625
2/26/2024,08:30,107.89136505126953
2/26/2024,08:45,319.4171447753906
2/26/2024,09:00,365.2975769042969
2/26/2024,09:15,223.60276794433594
2/26/2024,09:30,500.8286437988281
2/26/2024,09:45,266.4630126953125
2/26/2024,10:00,261.6392517089844
2/26/2024,10:15,385.9693908691406
2/26/2024,10:30,341.8990478515625
2/26/2024,10:45,437.93939208984375
2/26/2024,11:00,610.8270263671875
2/26/2024,11:15,526.6658935546875
2/26/2024,11:30,513.2212524414062
2/26/2024,11:45,516.683349609375
2/26/2024,12:00,464.53497314453125
2/26/2024,12:15,664.4786376953125
2/26/2024,12:30,481.9713134765625
2/26/2024,12:45,590.5977783203125
2/26/2024,13:00,394.5283508300781
2/26/2024,13:15,438.7933349609375
2/26/2024,13:30,528.5675048828125
2/26/2024,13:45,466.94189453125
2/26/2024,14:00,328.0409851074219
2/26/2024,14:15,437.081787109375
2/26/2024,14:30,396.7802734375
2/26/2024,14:45,388.0194091796875
2/26/2024,15:00,292.9969482421875
2/26/2024,15:15,371.60546875
2/26/2024,15:30,388.3419494628906
2/26/2024,15:45,554.0352783203125
2/26/2024,16:00,322.382080078125
2/26/2024,16:15,430.1023864746094
2/26/2024,16:30,361.7608337402344
2/26/2024,16:45,427.1465759277344
2/26/2024,17:00,472.497314453125
2/26/2024,17:15,498.8896179199219
2/26/2024,17:30,486.07269287109375
2/26/2024,17:45,272.9414367675781
2/26/2024,18:00,276.6820373535156
2/26/2024,18:15,323.1610412597656
2/26/2024,18:30,313.4781188964844
2/26/2024,18:45,210.02935791015625
2/26/2024,19:00,114.3185806274414
