date,RF,LSTM,AMLSTM,Our_Model
2024-06-13 06:00:00,34.52005795454549,76.670334,52.75082,202.8218
2024-06-13 06:15:00,49.622099999999854,81.90147,44.448444,214.57007
2024-06-13 06:30:00,74.61160000000014,84.06787,47.056355,222.42024
2024-06-13 06:45:00,115.38884999999982,112.135124,59.503895,230.43399
2024-06-13 07:00:00,141.3415000000004,131.15372,86.35562,252.34163
2024-06-13 07:15:00,188.13875000000044,143.7693,119.83664,266.79288
2024-06-13 07:30:00,213.314675,201.20001,156.7059,289.25934
2024-06-13 07:45:00,247.66419999999988,210.80205,182.05476,295.79004
2024-06-13 08:00:00,277.9512750000002,276.56052,249.49948,328.7435
2024-06-13 08:15:00,312.4738750000008,315.47,274.2778,355.98016
2024-06-13 08:30:00,350.86755000000016,368.58084,333.70126,381.93567
2024-06-13 08:45:00,376.5103000000005,385.7924,401.7439,384.29745
2024-06-13 09:00:00,337.7003750000006,469.66803,442.8975,434.35995
2024-06-13 09:15:00,461.8329749999989,509.2745,488.65695,447.5134
2024-06-13 09:30:00,505.7163750000002,520.3898,530.5531,472.11978
2024-06-13 09:45:00,542.7000000000005,574.47217,583.00775,513.73004
2024-06-13 10:00:00,621.6386500000016,643.4475,632.29425,540.4361
2024-06-13 10:15:00,684.3998000000025,652.2308,662.0393,543.0152
2024-06-13 10:30:00,704.6586750000013,694.6682,706.4541,539.23126
2024-06-13 10:45:00,742.6721999999993,716.43445,723.99084,546.02386
2024-06-13 11:00:00,743.2724000000006,750.1938,779.652,561.38617
2024-06-13 11:15:00,723.139375,754.6461,778.7205,581.84796
2024-06-13 11:30:00,746.4511500000004,780.83136,787.0356,580.7533
2024-06-13 11:45:00,832.4668750000013,805.91144,835.5167,588.6829
2024-06-13 12:00:00,804.0423750000007,819.958,834.666,600.3951
2024-06-13 12:15:00,855.8882750000006,816.3783,856.2373,613.0378
2024-06-13 12:30:00,862.1248000000002,824.0778,862.81714,611.7588
2024-06-13 12:45:00,821.1258000000006,832.6928,867.4045,628.68567
2024-06-13 13:00:00,805.5096999999997,812.4131,859.1534,637.7921
2024-06-13 13:15:00,822.7336250000003,796.22345,846.1295,619.65393
2024-06-13 13:30:00,821.2000000000005,776.2119,835.6848,632.8533
2024-06-13 13:45:00,767.5252500000001,762.3774,837.0775,640.843
2024-06-13 14:00:00,716.3139750000005,732.61694,811.1791,629.4303
2024-06-13 14:15:00,728.0578500000017,706.34607,781.567,596.2445
2024-06-13 14:30:00,714.1437500000019,686.5309,740.1541,573.14294
2024-06-13 14:45:00,639.9480750000012,643.14014,709.67926,571.675
2024-06-13 15:00:00,617.1507750000018,604.67804,711.41534,532.83655
2024-06-13 15:15:00,518.2237500000009,577.99963,650.50104,501.46707
2024-06-13 15:30:00,414.3926750000008,526.0232,590.22205,508.81375
2024-06-13 15:45:00,374.72135000000026,477.20752,536.82355,470.55603
2024-06-13 16:00:00,431.8199870370384,416.36404,504.06866,438.2096
2024-06-13 16:15:00,409.04625798724135,384.7663,422.06613,406.9578
2024-06-13 16:30:00,317.2493500000004,321.93286,401.08203,390.95248
2024-06-13 16:45:00,295.1173828687826,325.4302,357.11502,354.87842
2024-06-13 17:00:00,196.38220000000015,244.98671,287.28992,334.68582
2024-06-13 17:15:00,246.534475,221.25427,247.34079,312.45145
2024-06-13 17:30:00,159.80049999999977,171.22304,181.51672,289.43518
2024-06-13 17:45:00,153.19694999999996,141.3129,155.35007,258.41614
2024-06-13 18:00:00,137.18870000000013,121.02007,116.05315,237.44514
2024-06-13 18:15:00,91.63575000000024,75.89588,73.94876,220.65742
2024-06-13 18:30:00,79.07847499999997,72.261604,68.68942,199.78568
2024-06-13 18:45:00,33.20811406250003,70.67587,32.416527,180.10936
2024-06-13 19:00:00,3.5574350350751938,39.862286,31.664852,201.22545
